application_id,company_id,forecast_year,projected_revenue,projected_employees,projected_free_cash_flow,projected_debt
APP-00021,CO-00021,2,2084196.79,11,-142225.59,580439.57
APP-00021,CO-00021,3,2229465.31,11,-114059.45,524335.03
APP-00021,CO-00021,4,2384859.04,12,-81276.0,468230.49
APP-00021,CO-00021,5,2551083.72,12,-43368.42,412125.95
APP-00022,CO-00022,1,1312634.31,6,-217687.27,980109.7
APP-00022,CO-00022,2,1553502.71,7,-241383.25,967240.69
APP-00022,CO-00022,3,1838570.46,8,-266445.63,954371.69
APP-00022,CO-00022,4,2175948.13,8,-292577.99,941502.68
APP-00022,CO-00022,5,2575234.62,9,-319329.09,928633.68
APP-00023,CO-00023,1,8092294.11,44,-1357077.72,2379911.47
APP-00023,CO-00023,2,8800369.85,46,-1343816.48,2368961.33
APP-00023,CO-00023,3,9570402.21,47,-1317844.38,2358011.18
APP-00023,CO-00023,4,10407812.4,49,-1277038.58,2347061.04
APP-00023,CO-00023,5,11318495.99,51,-1219002.02,2336110.89
APP-00024,CO-00024,1,2000138.46,17,-593321.07,1437499.6
APP-00024,CO-00024,2,2130747.5,18,-580586.08,1414541.2
APP-00024,CO-00024,3,2269885.32,18,-563657.92,1391582.8
APP-00024,CO-00024,4,2418108.83,19,-542043.27,1368624.4
APP-00024,CO-00024,5,2576011.33,20,-515202.27,1345666.0
APP-00025,CO-00025,1,1570479.35,7,4397.34,935272.89
APP-00025,CO-00025,2,1727370.23,7,39902.25,847629.41
APP-00025,CO-00025,3,1899934.52,8,82457.16,759985.94
APP-00025,CO-00025,4,2089737.98,9,133116.31,672342.47
APP-00025,CO-00025,5,2298502.8,10,193074.24,584698.99
APP-00026,CO-00026,1,1744896.36,12,-303088.5,962516.95
APP-00026,CO-00026,2,1975920.64,14,-307255.66,937066.92
APP-00026,CO-00026,3,2237532.53,15,-307213.22,911616.89
APP-00026,CO-00026,4,2533781.84,17,-301773.42,886166.86
APP-00026,CO-00026,5,2869254.56,19,-289507.78,860716.83
APP-00027,CO-00027,1,4379237.29,24,-762425.21,3135814.95
APP-00027,CO-00027,2,5139472.88,27,-862917.5,3002976.89
APP-00027,CO-00027,3,6031685.38,30,-975323.53,2870138.84
APP-00027,CO-00027,4,7078785.96,34,-1100751.22,2737300.78
APP-00027,CO-00027,5,8307663.2,39,-1240334.12,2604462.72
APP-00028,CO-00028,1,3451675.33,20,-13461.53,1245009.39
APP-00028,CO-00028,2,3772681.14,22,17354.33,1228815.54
APP-00028,CO-00028,3,4123540.48,23,54018.38,1212621.69
APP-00028,CO-00028,4,4507029.75,25,97351.84,1196427.84
APP-00028,CO-00028,5,4926183.51,26,148278.12,1180233.99
APP-00029,CO-00029,1,3989311.37,17,576056.56,1220163.75
APP-00029,CO-00029,2,4806721.28,20,725334.24,1174255.99
APP-00029,CO-00029,3,5791618.46,24,911600.75,1128348.24
APP-00029,CO-00029,4,6978321.09,28,1143746.83,1082440.49
APP-00029,CO-00029,5,8408179.08,32,1432753.71,1036532.74
APP-00030,CO-00030,1,3459669.64,34,-145859.67,539663.15
APP-00030,CO-00030,2,3550312.99,34,-136403.02,507273.52
APP-00030,CO-00030,3,3643331.19,34,-126350.73,474883.89
APP-00030,CO-00030,4,3738786.46,35,-115678.05,442494.27
APP-00030,CO-00030,5,3836742.67,35,-104359.4,410104.64
APP-00031,CO-00031,1,20571338.26,96,-782945.13,5065549.53
APP-00031,CO-00031,2,22684014.7,105,-844299.03,4973643.68
APP-00031,CO-00031,3,25013663.01,115,-909997.06,4881737.82
APP-00031,CO-00031,4,27582566.2,126,-980284.4,4789831.97
APP-00031,CO-00031,5,30415295.75,139,-1055410.76,4697926.11
APP-00032,CO-00032,1,1566158.93,15,-54345.71,1123078.9
APP-00032,CO-00032,2,1680645.15,15,-23192.9,1022840.26
APP-00032,CO-00032,3,1803500.31,16,12804.85,922601.62
APP-00032,CO-00032,4,1935336.18,16,54189.41,822362.98
APP-00032,CO-00032,5,2076809.26,17,101555.97,722124.34
APP-00033,CO-00033,1,1541619.94,13,-401006.18,566210.61
APP-00033,CO-00033,2,1810170.14,15,-435418.32,526939.03
APP-00033,CO-00033,3,2125501.78,16,-469650.87,487667.46
APP-00033,CO-00033,4,2495764.19,18,-502596.99,448395.88
APP-00033,CO-00033,5,2930526.31,19,-532769.68,409124.31
APP-00034,CO-00034,1,1069226.58,4,-13621.95,308128.88
APP-00034,CO-00034,2,1177218.47,5,-6922.04,288537.78
APP-00034,CO-00034,3,1296117.53,5,1270.2,268946.68
APP-00034,CO-00034,4,1427025.4,5,11187.88,249355.58
APP-00034,CO-00034,5,1571154.97,6,23095.98,229764.48
APP-00035,CO-00035,1,4553285.29,35,181585.02,841237.96
APP-00035,CO-00035,2,5110152.09,36,316114.01,785920.49
APP-00035,CO-00035,3,5735123.69,37,480832.77,730603.02
APP-00035,CO-00035,4,6436529.31,38,681113.53,675285.55
APP-00035,CO-00035,5,7223716.85,39,923191.01,619968.08
APP-00036,CO-00036,1,6656562.54,38,314189.75,2869385.02
APP-00036,CO-00036,2,6538741.38,37,392978.36,2546947.07
APP-00036,CO-00036,3,6423005.66,37,468879.41,2224509.11
APP-00036,CO-00036,4,6309318.46,36,541970.46,1902071.15
APP-00036,CO-00036,5,6197643.52,35,612327.18,1579633.19
APP-00037,CO-00037,1,2243311.98,14,-241380.37,1297985.84
APP-00037,CO-00037,2,2573751.84,16,-227004.91,1253662.8
APP-00037,CO-00037,3,2952865.49,17,-203157.15,1209339.76
APP-00037,CO-00037,4,3387822.57,19,-167358.44,1165016.72
APP-00037,CO-00037,5,3886848.84,20,-116605.47,1120693.68
APP-00038,CO-00038,1,1093501.83,5,-28365.44,264261.4
APP-00038,CO-00038,2,1264197.47,5,-3767.31,257418.74
APP-00038,CO-00038,3,1461538.69,6,29201.54,250576.07
APP-00038,CO-00038,4,1689684.88,7,72555.07,243733.4
APP-00038,CO-00038,5,1953444.69,8,128732.01,236890.74
APP-00039,CO-00039,1,937642.12,4,18771.6,656120.37
APP-00039,CO-00039,2,915044.95,4,25291.84,615973.6
APP-00039,CO-00039,3,892992.37,4,31486.91,575826.84
APP-00039,CO-00039,4,871471.25,4,37368.69,535680.08
APP-00039,CO-00039,5,850468.79,4,42948.67,495533.32
APP-00040,CO-00040,1,4493149.69,32,-103522.17,2444578.71
APP-00040,CO-00040,2,4806771.54,33,-18650.27,2345212.21
APP-00040,CO-00040,3,5142284.19,33,78574.1,2245845.71
APP-00040,CO-00040,4,5501215.62,33,189461.87,2146479.21
APP-00040,CO-00040,5,5885200.48,33,315446.75,2047112.71
APP-00041,CO-00041,1,4523446.02,22,68937.32,3257697.94
APP-00041,CO-00041,2,4440666.96,21,106487.19,3048358.21
APP-00041,CO-00041,3,4359402.75,21,142639.66,2839018.47
APP-00041,CO-00041,4,4279625.68,21,177433.28,2629678.74
APP-00041,CO-00041,5,4201308.53,21,210905.69,2420339.0
APP-00042,CO-00042,1,4143700.89,35,-329755.72,930714.93
APP-00042,CO-00042,2,4551855.42,37,-257908.13,905772.26
APP-00042,CO-00042,3,5000213.18,39,-168707.19,880829.6
APP-00042,CO-00042,4,5492734.18,42,-59431.38,855886.94
APP-00042,CO-00042,5,6033768.5,44,73008.6,830944.27
APP-00043,CO-00043,1,1290455.86,7,-102178.3,631951.46
APP-00043,CO-00043,2,1478475.28,8,-105651.84,580372.24
APP-00043,CO-00043,3,1693889.13,9,-107968.49,528793.01
APP-00043,CO-00043,4,1940688.77,10,-108717.39,477213.79
APP-00043,CO-00043,5,2223447.13,12,-107392.5,425634.56
APP-00044,CO-00044,1,2679346.2,14,-398258.02,423366.06
APP-00044,CO-00044,2,2597358.21,14,-348513.52,396285.19
APP-00044,CO-00044,3,2517879.05,14,-301440.48,369204.32
APP-00044,CO-00044,4,2440831.95,15,-256921.97,342123.45
APP-00044,CO-00044,5,2366142.49,15,-214845.74,315042.58
APP-00045,CO-00045,1,2690768.79,14,-211440.61,855776.09
APP-00045,CO-00045,2,2940203.06,15,-218927.52,829163.24
APP-00045,CO-00045,3,3212759.88,17,-225985.53,802550.39
APP-00045,CO-00045,4,3510582.72,18,-232470.79,775937.54
APP-00045,CO-00045,5,3836013.74,19,-238216.45,749324.69
APP-00046,CO-00046,1,2877188.46,16,-333868.95,1842068.38
APP-00046,CO-00046,2,3035721.55,16,-316565.04,1792585.39
APP-00046,CO-00046,3,3202989.81,17,-296340.62,1743102.41
APP-00046,CO-00046,4,3379474.54,18,-272926.36,1693619.43
APP-00046,CO-00046,5,3565683.59,18,-246032.17,1644136.44
APP-00047,CO-00047,1,5006372.63,24,530575.37,2902213.28
APP-00047,CO-00047,2,4785090.96,23,555836.17,2622663.59
APP-00047,CO-00047,3,4573589.94,21,577827.35,2343113.89
APP-00047,CO-00047,4,4371437.27,20,596788.62,2063564.2
APP-00047,CO-00047,5,4178219.74,19,612944.84,1784014.5
APP-00048,CO-00048,1,3075218.75,16,15806.62,517898.08
APP-00048,CO-00048,2,3451010.48,17,81719.93,502221.66
APP-00048,CO-00048,3,3872723.96,17,163506.41,486545.24
APP-00048,CO-00048,4,4345970.83,18,264061.19,470868.82
APP-00048,CO-00048,5,4877048.47,18,386749.94,455192.41
APP-00049,CO-00049,1,4786402.43,20,-1404521.93,3530661.88
APP-00049,CO-00049,2,5302376.62,22,-1432065.88,3525924.45
APP-00049,CO-00049,3,5873972.81,23,-1449226.57,3521187.01
APP-00049,CO-00049,4,6507187.08,25,-1453445.31,3516449.58
APP-00049,CO-00049,5,7208661.85,27,-1441732.37,3511712.14
APP-00050,CO-00050,1,2817844.27,27,23444.46,152296.0
APP-00050,CO-00050,2,3386767.03,31,66516.1,141376.91
APP-00050,CO-00050,3,4070555.3,37,126024.39,130457.82
APP-00050,CO-00050,4,4892400.41,43,206850.69,119538.73
APP-00050,CO-00050,5,5880176.05,50,315177.44,108619.64
APP-00051,CO-00051,1,3202711.65,22,-147773.12,1633624.5
APP-00051,CO-00051,2,3505688.17,23,-153479.03,1589086.05
APP-00051,CO-00051,3,3837326.27,23,-158942.05,1544547.61
APP-00051,CO-00051,4,4200337.34,24,-164065.18,1500009.16
APP-00051,CO-00051,5,4597689.25,25,-168735.2,1455470.72
APP-00052,CO-00052,1,4125456.53,20,-569478.02,3836540.07
APP-00052,CO-00052,2,4131232.17,21,-529128.22,3821364.31
APP-00052,CO-00052,3,4137015.9,21,-488664.32,3806188.55
APP-00052,CO-00052,4,4142807.72,21,-448086.08,3791012.79
APP-00052,CO-00052,5,4148607.65,22,-407393.27,3775837.03
APP-00053,CO-00053,1,610526.91,4,-27070.76,249777.56
APP-00053,CO-00053,2,730373.34,5,-26497.94,237084.48
APP-00053,CO-00053,3,873745.63,6,-24657.1,224391.4
APP-00053,CO-00053,4,1045261.89,6,-21072.48,211698.32
APP-00053,CO-00053,5,1250446.8,7,-15130.41,199005.24
APP-00054,CO-00054,1,1884124.68,11,5087.14,1150352.37
APP-00054,CO-00054,2,2230238.39,12,38583.12,1083632.47
APP-00054,CO-00054,3,2639933.18,13,84213.87,1016912.56
APP-00054,CO-00054,4,3124888.9,14,145307.33,950192.66
APP-00054,CO-00054,5,3698930.99,15,226004.68,883472.76
APP-00055,CO-00055,1,1475287.87,6,-150007.27,775705.8
APP-00055,CO-00055,2,1589770.21,7,-144446.52,766236.59
APP-00055,CO-00055,3,1713136.38,7,-137119.44,756767.38
APP-00055,CO-00055,4,1846075.76,8,-127785.36,747298.17
APP-00055,CO-00055,5,1989331.24,9,-116176.94,737828.96
APP-00056,CO-00056,1,1340322.53,8,-5468.52,802133.07
APP-00056,CO-00056,2,1553031.71,9,29414.42,738704.73
APP-00056,CO-00056,3,1799497.85,10,75506.93,675276.39
APP-00056,CO-00056,4,2085078.16,11,135488.38,611848.05
APP-00056,CO-00056,5,2415980.06,12,212606.25,548419.71
APP-00057,CO-00057,1,1523079.89,14,-258771.27,1013035.95
APP-00057,CO-00057,2,1393922.72,14,-217451.94,978118.13
APP-00057,CO-00057,3,1275718.07,13,-181279.54,943200.31
APP-00057,CO-00057,4,1167537.18,12,-149678.27,908282.49
APP-00057,CO-00057,5,1068530.03,12,-122132.98,873364.67
APP-00058,CO-00058,1,11359900.22,100,-1367050.39,6397865.61
APP-00058,CO-00058,2,13207019.99,111,-1530429.48,6319896.56
APP-00058,CO-00058,3,15354481.44,122,-1710796.32,6241927.51
APP-00058,CO-00058,4,17851120.13,135,-1909355.81,6163958.46
APP-00058,CO-00058,5,20753712.26,149,-2127255.51,6085989.41
APP-00059,CO-00059,1,1043843.21,8,72505.35,192602.3
APP-00059,CO-00059,2,1181943.66,9,107698.71,171453.8
APP-00059,CO-00059,3,1338314.81,10,150935.14,150305.29
APP-00059,CO-00059,4,1515373.86,12,203726.86,129156.79
APP-00059,CO-00059,5,1715857.82,13,267845.41,108008.28
APP-00060,CO-00060,1,5262743.71,43,-333447.44,3929259.08
APP-00060,CO-00060,2,4799622.26,41,-292872.95,3762040.87
APP-00060,CO-00060,3,4377255.5,40,-256857.35,3594822.67
APP-00060,CO-00060,4,3992057.02,38,-224912.49,3427604.47
APP-00060,CO-00060,5,3640756.0,37,-196600.82,3260386.27
APP-00061,CO-00061,1,449865.54,4,-6478.06,91265.06
APP-00061,CO-00061,2,496966.47,4,3429.07,84283.66
APP-00061,CO-00061,3,548998.86,5,15481.77,77302.27
APP-00061,CO-00061,4,606479.04,5,30020.71,70320.88
APP-00061,CO-00061,5,669977.39,5,47434.4,63339.49
APP-00062,CO-00062,1,1463126.85,7,-152545.61,1413596.57
APP-00062,CO-00062,2,1365536.29,6,-128387.72,1366111.42
APP-00062,CO-00062,3,1274455.02,6,-106773.84,1318626.26
APP-00062,CO-00062,4,1189448.87,6,-87472.07,1271141.11
APP-00062,CO-00062,5,1110112.63,6,-70270.13,1223655.95
APP-00063,CO-00063,1,2762958.54,21,-122841.14,572119.05
APP-00063,CO-00063,2,2960510.08,21,-133282.16,546412.55
APP-00063,CO-00063,3,3172186.55,21,-144588.26,520706.05
APP-00063,CO-00063,4,3398997.89,21,-156829.76,494999.56
APP-00063,CO-00063,5,3642026.24,21,-170082.63,469293.06
APP-00064,CO-00064,1,4511154.0,21,-236835.58,886002.47
APP-00064,CO-00064,2,5167526.9,23,-152442.04,826390.97
APP-00064,CO-00064,3,5919402.07,25,-38476.11,766779.46
APP-00064,CO-00064,4,6780675.07,28,111881.14,707167.96
APP-00064,CO-00064,5,7767263.29,30,306806.9,647556.45
APP-00065,CO-00065,1,4751702.67,20,-1032735.06,3407694.87
APP-00065,CO-00065,2,5059613.0,22,-1039143.32,3162513.84
APP-00065,CO-00065,3,5387475.92,24,-1042045.59,2917332.81
APP-00065,CO-00065,4,5736584.36,26,-1040960.6,2672151.78
APP-00065,CO-00065,5,6108315.03,28,-1035359.4,2426970.75
APP-00066,CO-00066,1,6016340.25,44,758540.18,1080447.37
APP-00066,CO-00066,2,7471692.96,52,1110741.88,969268.65
APP-00066,CO-00066,3,9279095.48,61,1588952.31,858089.94
APP-00066,CO-00066,4,11523708.68,72,2233525.22,746911.23
APP-00066,CO-00066,5,14311293.81,85,3096963.98,635732.51
APP-00067,CO-00067,1,1812545.12,7,290695.99,505088.75
APP-00067,CO-00067,2,2124846.64,7,362413.84,460307.33
APP-00067,CO-00067,3,2490957.71,8,450215.7,415525.9
APP-00067,CO-00067,4,2920149.73,9,557514.99,370744.47
APP-00067,CO-00067,5,3423291.53,10,688423.93,325963.04
APP-00068,CO-00068,1,1478336.05,13,-2867.97,875243.77
APP-00068,CO-00068,2,1583593.58,14,17292.84,805667.2
APP-00068,CO-00068,3,1696345.44,15,40339.09,736090.63
APP-00068,CO-00068,4,1817125.24,16,66579.47,666514.06
APP-00068,CO-00068,5,1946504.55,17,96351.98,596937.49
APP-00069,CO-00069,1,5917755.82,32,44974.94,851096.06
APP-00069,CO-00069,2,6776422.19,34,125363.81,835866.05
APP-00069,CO-00069,3,7759681.05,37,228134.62,820636.03
APP-00069,CO-00069,4,8885610.77,40,358090.11,805406.02
APP-00069,CO-00069,5,10174912.89,44,520955.54,790176.01
APP-00070,CO-00070,1,1972620.4,7,-194973.8,283273.92
APP-00070,CO-00070,2,2150156.24,8,-189385.76,262625.43
APP-00070,CO-00070,3,2343670.3,8,-181212.59,241976.94
APP-00070,CO-00070,4,2554600.63,8,-170034.22,221328.46
APP-00070,CO-00070,5,2784514.69,9,-155375.92,200679.97
APP-00071,CO-00071,1,713100.79,3,69398.97,266954.38
APP-00071,CO-00071,2,831047.66,3,96684.08,244903.26
APP-00071,CO-00071,3,968502.94,3,131096.56,222852.14
APP-00071,CO-00071,4,1128693.33,3,174247.68,200801.02
APP-00071,CO-00071,5,1315379.21,4,228086.75,178749.9
APP-00072,CO-00072,1,771856.15,6,-22754.32,168453.98
APP-00072,CO-00072,2,844410.63,7,-24707.46,162896.04
APP-00072,CO-00072,3,923785.23,7,-26826.72,157338.1
APP-00072,CO-00072,4,1010621.04,8,-29126.1,151780.16
APP-00072,CO-00072,5,1105619.42,8,-31620.72,146222.22
APP-00073,CO-00073,1,1011189.0,7,131050.09,198711.2
APP-00073,CO-00073,2,1170249.03,8,164419.99,188455.09
APP-00073,CO-00073,3,1354329.2,8,205045.44,178198.97
APP-00073,CO-00073,4,1567365.19,9,254383.37,167942.86
APP-00073,CO-00073,5,1813911.73,9,314169.51,157686.74
APP-00074,CO-00074,1,4107301.17,31,206843.69,97540.19
APP-00074,CO-00074,2,4682734.07,31,277779.78,92074.71
APP-00074,CO-00074,3,5338785.11,32,364532.25,86609.23
APP-00074,CO-00074,4,6086748.9,33,470140.49,81143.75
APP-00074,CO-00074,5,6939502.43,34,598185.11,75678.27
APP-00075,CO-00075,1,2690433.06,11,337057.45,884353.55
APP-00075,CO-00075,2,2864773.12,11,401813.08,847678.18
APP-00075,CO-00075,3,3050410.42,11,473545.71,811002.81
APP-00075,CO-00075,4,3248077.01,12,552887.67,774327.43
APP-00075,CO-00075,5,3458552.4,12,640523.9,737652.06
APP-00076,CO-00076,1,4897185.05,41,-288640.09,1337092.88
APP-00076,CO-00076,2,5486806.13,44,-292885.71,1293091.21
APP-00076,CO-00076,3,6147417.59,49,-293969.51,1249089.53
APP-00076,CO-00076,4,6887566.67,53,-291068.57,1205087.86
APP-00076,CO-00076,5,7716829.7,59,-283207.65,1161086.19
APP-00077,CO-00077,1,1533718.62,9,-96961.69,68904.42
APP-00077,CO-00077,2,1645680.08,9,-86299.46,67805.36
APP-00077,CO-00077,3,1765814.73,10,-73563.84,66706.31
APP-00077,CO-00077,4,1894719.2,10,-58508.93,65607.25
APP-00077,CO-00077,5,2033033.71,10,-40863.98,64508.2
APP-00078,CO-00078,1,2419588.66,18,-89573.17,1461465.96
APP-00078,CO-00078,2,2279978.39,17,-58914.64,1388068.8
APP-00078,CO-00078,3,2148423.64,16,-31495.89,1314671.65
APP-00078,CO-00078,4,2024459.59,15,-7045.12,1241274.49
APP-00078,CO-00078,5,1907648.28,15,14688.89,1167877.34
APP-00079,CO-00079,1,4793469.69,33,-626218.88,2382822.84
APP-00079,CO-00079,2,5609318.23,37,-637106.36,2296450.39
APP-00079,CO-00079,3,6564024.19,41,-633559.61,2210077.94
APP-00079,CO-00079,4,7681221.11,46,-610349.83,2123705.49
APP-00079,CO-00079,5,8988564.94,51,-560886.45,2037333.03
APP-00080,CO-00080,1,1662441.82,11,-134591.29,137476.19
APP-00080,CO-00080,2,1718466.11,12,-95752.93,136893.58
APP-00080,CO-00080,3,1776378.42,12,-54144.01,136310.98
APP-00080,CO-00080,4,1836242.37,12,-9621.91,135728.37
APP-00080,CO-00080,5,1898123.74,12,37962.47,135145.76
APP-00081,CO-00081,1,3675197.63,27,122384.08,995925.74
APP-00081,CO-00081,2,3903794.92,28,140927.0,902479.41
APP-00081,CO-00081,3,4146610.97,28,161303.17,809033.07
APP-00081,CO-00081,4,4404530.17,29,183668.91,715586.73
APP-00081,CO-00081,5,4678491.94,30,208192.89,622140.39
APP-00082,CO-00082,1,1316340.2,7,-219644.53,917367.06
APP-00082,CO-00082,2,1532878.17,8,-235327.46,894577.67
APP-00082,CO-00082,3,1785036.62,8,-250226.43,871788.27
APP-00082,CO-00082,4,2078675.15,9,-263659.16,848998.88
APP-00082,CO-00082,5,2420617.21,11,-274740.05,826209.49
APP-00083,CO-00083,1,1615444.52,11,-151916.4,813238.41
APP-00083,CO-00083,2,1712209.64,12,-145161.13,770796.67
APP-00083,CO-00083,3,1814771.0,13,-137051.51,728354.94
APP-00083,CO-00083,4,1923475.79,14,-127449.51,685913.2
APP-00083,CO-00083,5,2038691.99,15,-116205.44,643471.47
APP-00084,CO-00084,1,1705964.48,11,-254256.95,562298.79
APP-00084,CO-00084,2,1945481.89,13,-259099.28,521531.53
APP-00084,CO-00084,3,2218627.55,15,-260289.38,480764.26
APP-00084,CO-00084,4,2530122.86,17,-256706.27,439997.0
APP-00084,CO-00084,5,2885352.11,19,-246986.14,399229.73
APP-00085,CO-00085,1,669779.99,4,-75685.14,283466.28
