application_id,is_fraud,historical_action
APP-00737,0,No fraud found
APP-00738,0,No fraud found
APP-00739,1,Fraud confirmed
APP-00740,0,No fraud found
APP-00741,1,Fraud confirmed
APP-00742,1,Fraud confirmed
APP-00743,0,No fraud found
APP-00744,1,Fraud confirmed
APP-00745,0,No fraud found
APP-00746,1,Fraud confirmed
APP-00747,0,No fraud found
APP-00748,1,Fraud confirmed
APP-00749,1,Fraud confirmed
APP-00750,1,Fraud confirmed
APP-00751,1,Fraud confirmed
APP-00752,1,Fraud confirmed
APP-00753,1,Fraud confirmed
APP-00754,1,Fraud confirmed
APP-00755,1,Fraud confirmed
APP-00756,1,Fraud confirmed
APP-00757,1,Fraud confirmed
APP-00758,0,No fraud found
APP-00759,0,No fraud found
APP-00760,1,Fraud confirmed
APP-00761,1,Fraud confirmed
APP-00762,1,Fraud confirmed
APP-00763,0,No fraud found
APP-00764,1,Fraud confirmed
APP-00765,1,Fraud confirmed
APP-00766,1,Fraud confirmed
APP-00767,0,No fraud found
APP-00768,1,Fraud confirmed
APP-00769,1,Fraud confirmed
APP-00770,1,Fraud confirmed
APP-00771,1,Fraud confirmed
APP-00772,1,Fraud confirmed
APP-00773,1,Fraud confirmed
APP-00774,1,Fraud confirmed
APP-00775,1,Fraud confirmed
APP-00776,1,Fraud confirmed
APP-00777,0,No fraud found
APP-00778,1,Fraud confirmed
APP-00779,1,Fraud confirmed
APP-00780,1,Fraud confirmed
APP-00781,0,No fraud found
APP-00782,0,No fraud found
APP-00783,0,No fraud found
APP-00784,0,No fraud found
APP-00785,1,Fraud confirmed
APP-00786,1,Fraud confirmed
APP-00787,1,Fraud confirmed
APP-00788,1,Fraud confirmed
APP-00789,0,No fraud found
APP-00790,1,Fraud confirmed
APP-00791,1,Fraud confirmed
APP-00792,1,Fraud confirmed
APP-00793,1,Fraud confirmed
APP-00794,1,Fraud confirmed
APP-00795,1,Fraud confirmed
APP-00796,0,No fraud found
APP-00797,1,Fraud confirmed
APP-00798,1,Fraud confirmed
APP-00799,1,Fraud confirmed
APP-00800,1,Fraud confirmed
APP-00801,0,No fraud found
APP-00802,1,Fraud confirmed
APP-00803,1,Fraud confirmed
APP-00804,1,Fraud confirmed
APP-00805,0,No fraud found
APP-00806,0,No fraud found
APP-00807,1,Fraud confirmed
APP-00808,1,Fraud confirmed
APP-00809,1,Fraud confirmed
APP-00810,1,Fraud confirmed
APP-00811,1,Fraud confirmed
APP-00812,1,Fraud confirmed
APP-00813,1,Fraud confirmed
APP-00814,1,Fraud confirmed
APP-00815,1,Fraud confirmed
APP-00816,1,Fraud confirmed
APP-00817,1,Fraud confirmed
APP-00818,1,Fraud confirmed
APP-00819,1,Fraud confirmed
APP-00820,1,Fraud confirmed
APP-00821,1,Fraud confirmed
APP-00822,1,Fraud confirmed
APP-00823,0,No fraud found
APP-00824,1,Fraud confirmed
APP-00825,1,Fraud confirmed
APP-00826,1,Fraud confirmed
APP-00827,1,Fraud confirmed
APP-00828,1,Fraud confirmed
APP-00829,1,Fraud confirmed
APP-00830,1,Fraud confirmed
APP-00831,0,No fraud found
APP-00832,0,No fraud found
APP-00833,1,Fraud confirmed
APP-00834,1,Fraud confirmed
APP-00835,1,Fraud confirmed
APP-00836,1,Fraud confirmed
APP-00837,1,Fraud confirmed
APP-00838,1,Fraud confirmed
APP-00839,0,No fraud found
APP-00840,1,Fraud confirmed
APP-00841,1,Fraud confirmed
APP-00842,0,No fraud found
APP-00843,0,No fraud found
APP-00844,1,Fraud confirmed
APP-00845,1,Fraud confirmed
APP-00846,1,Fraud confirmed
APP-00847,1,Fraud confirmed
APP-00848,0,No fraud found
APP-00849,1,Fraud confirmed
APP-00850,1,Fraud confirmed
APP-00851,0,No fraud found
APP-00852,1,Fraud confirmed
APP-00853,0,No fraud found
APP-00854,1,Fraud confirmed
APP-00855,1,Fraud confirmed
APP-00856,1,Fraud confirmed
APP-00857,1,Fraud confirmed
APP-00858,1,Fraud confirmed
APP-00859,1,Fraud confirmed
APP-00860,1,Fraud confirmed
APP-00861,1,Fraud confirmed
APP-00862,1,Fraud confirmed
APP-00863,1,Fraud confirmed
