application_id,company_id,company_name,industry,region,company_type,requested_amount,term_months,annual_revenue,years_in_business,existing_debt,num_recent_loans,late_payment_ratio,suspicious_transfer_ratio,collateral_ratio,employees,country_risk_score,free_cash_flow,monthly_burn_rate,cash_flow_to_revenue_ratio,expected_runway_months,forecast_revenue_cagr,forecast_employee_cagr,forecast_fcf_margin_year5,planned_debt_reduction_pct,forecast_plan_confidence_score,current_ratio,quick_ratio,receivables_days,payables_days,inventory_days,financial_statements_uploaded,bank_statements_uploaded,tax_return_uploaded,ownership_docs_uploaded,forecast_support_uploaded,document_edit_count,late_stage_change_count,process_deviation_score,email_domain_age_months,website_age_months,bank_account_age_months,location_mismatch_score,duplicate_contact_score,related_party_exposure_score,counterparty_concentration_score,shared_identifier_score,narrative_contradiction_score,debt_to_revenue_ratio,request_to_revenue_ratio,loan_velocity_score,payment_stress_score,collateral_gap_ratio,external_financing_pressure,financial_distress_score,transaction_anomaly_score,company_scale_mismatch_score,governance_complexity_score,cash_flow_pressure_score,runway_risk_score,cash_conversion_risk_score,forecast_plan_aggressiveness_score,forecast_execution_risk_score,forecast_hiring_efficiency_risk_score,forecast_debt_service_risk_score,cash_conversion_cycle_days,document_completeness_score,document_quality_risk_score,process_integrity_risk_score,identity_verification_risk_score,working_capital_pressure_score,financial_statement_anomaly_score,related_party_network_risk_score,narrative_consistency_risk_score,is_fraud
APP-00011,CO-00011,Company 00011,Retail,APAC,Corporation,1855042.43,36,5279795.77,8.0,988876.24,1,0.17,0.188,0.36,37,0.233,-1144227.22,99482.35,-0.2167,4.3,0.009,0.0037,-0.1162,0.101,0.3019,1.3109,0.948,81.6,61.9,81.4,1,1,0,1,1,3,0,0.3045,67.0,81.0,84.0,0.1547,0.0342,0.1595,0.2279,0.0634,0.2998,0.1873,0.3513,0.1667,0.1609,0.64,0.3979,0.2796,0.189,0.45,0.0524,0.4099,0.6417,0.7063,0.1117,0.4836,0.0,0.0335,101.1,0.8,0.2142,0.212,0.0344,0.1401,0.1358,0.1588,0.2998,0
APP-00012,CO-00012,Company 00012,Retail,Western Europe,Corporation,690408.15,48,4769690.31,0.6,3991735.1,0,0.035,0.048,0.305,28,0.219,-1087440.34,95542.84,-0.228,1.5,0.1296,0.0577,-0.1365,0.3418,0.2467,1.1246,0.8296,73.8,78.6,90.9,0,0,0,0,0,7,5,1.0,0.0,0.0,0.0,0.1676,0.0734,0.0628,0.4122,0.0868,0.4196,0.8369,0.1447,0.0,0.3205,0.695,0.463,0.6471,0.0662,0.2876,0.2104,0.4344,0.875,0.7622,0.1135,0.5559,0.0,0.1966,86.1,0.0,0.9687,0.975,0.7409,0.1378,0.2829,0.1721,0.4334,1
APP-00013,CO-00013,Company 00013,Wholesale,Western Europe,LLC,1154201.4,48,2340864.11,3.3,1592853.29,2,0.206,0.128,0.589,13,0.215,-328182.84,31812.28,-0.1402,17.4,0.1283,0.1227,-0.1102,0.1721,0.6618,0.5975,0.15,77.7,106.6,67.5,1,1,1,1,0,1,1,0.2955,37.0,38.0,19.0,0.3192,0.1114,0.1161,0.73,0.0403,0.1317,0.6805,0.4931,0.3333,0.3583,0.411,0.7503,0.4344,0.1772,0.5418,0.0847,0.2868,0.0,0.6979,0.0463,0.2583,0.0,0.0731,38.6,0.8,0.1908,0.228,0.075,0.3949,0.1775,0.2825,0.1317,1
APP-00014,CO-00014,Company 00014,Software,Western Europe,Corporation,3477979.34,18,6764786.14,1.5,3734918.74,0,0.061,0.08,0.544,56,0.25,126576.26,7918.52,0.0187,60.0,0.0827,0.0662,0.1219,0.2437,0.6873,1.4889,1.2459,33.7,66.0,23.1,1,1,1,1,1,1,1,0.1602,0.0,0.0,0.0,0.2652,0.051,0.3052,0.1787,0.0604,0.1306,0.5521,0.5141,0.0,0.2323,0.456,0.648,0.4316,0.0937,0.45,0.155,0.0181,0.0,0.2407,0.0743,0.1487,0.0,0.05,-9.2,1.0,0.0873,0.1671,0.7581,0.0,0.0608,0.1835,0.1306,1
APP-00015,CO-00015,Company 00015,Healthcare,Western Europe,Partnership,317955.37,36,3497326.38,13.1,2930319.61,1,0.181,0.048,0.755,31,0.159,-236315.96,24618.5,-0.0676,1.4,0.0709,0.0545,-0.0234,0.2583,0.4544,1.2204,1.0597,66.5,69.8,4.5,1,1,1,0,1,0,2,0.3179,121.0,134.0,125.0,0.1385,0.0537,0.1869,0.1356,0.0343,0.1334,0.8379,0.0909,0.1667,0.4012,0.245,0.4527,0.4515,0.1031,0.0923,0.1218,0.1458,0.8833,0.5241,0.073,0.4423,0.0,0.1002,1.2,0.8,0.2018,0.2831,0.0331,0.0038,0.0748,0.1195,0.1664,1
APP-00016,CO-00016,Company 00016,Wholesale,North America,LLC,87944.68,36,927926.25,3.7,123573.76,0,0.019,0.032,0.336,6,0.208,58247.08,363.28,0.0628,60.0,0.0353,-0.0077,0.1479,0.5188,0.8344,1.4699,1.18,59.4,39.0,39.4,1,0,1,1,1,0,1,0.1713,71.0,68.0,17.0,0.1753,0.0317,0.1472,0.2926,0.0437,0.0267,0.1332,0.0948,0.0,0.0584,0.664,0.1324,0.2256,0.0526,0.1485,0.0837,0.006,0.0,0.0652,0.052,0.0676,0.0,0.0262,59.8,0.8,0.1471,0.1471,0.0382,0.0,0.052,0.1534,0.0409,0
APP-00017,CO-00017,Company 00017,Software,North America,LLC,313094.37,60,3168442.77,9.9,2074427.12,1,0.109,0.067,0.907,17,0.497,-150767.67,13975.02,-0.0476,12.2,0.1516,0.0215,0.0642,0.3573,0.6316,1.5652,1.3719,42.7,86.4,18.3,1,1,1,1,0,0,1,0.2698,97.0,101.0,77.0,0.2303,0.1427,0.3963,0.1629,0.1368,0.205,0.6547,0.0988,0.1667,0.2956,0.093,0.3838,0.3201,0.1499,0.2731,0.127,0.0942,0.0,0.4352,0.1113,0.2214,0.1113,0.1038,-25.4,0.8,0.157,0.1914,0.0603,0.0,0.1048,0.2285,0.205,0
APP-00018,CO-00018,Company 00018,Manufacturing,Western Europe,LLC,299011.58,36,839966.59,1.2,186088.26,1,0.065,0.083,0.653,4,0.586,-122036.52,11828.99,-0.1453,18.1,0.2095,0.1572,-0.1174,0.346,0.4221,1.5588,1.1057,63.3,76.1,31.6,0,1,1,0,1,7,1,0.6419,2.0,0.0,0.0,0.3692,0.1773,0.1849,0.1629,0.0913,0.2785,0.2215,0.356,0.1667,0.1155,0.347,0.4158,0.2842,0.1632,0.6071,0.2604,0.2972,0.0,0.6262,0.0956,0.3056,0.0,0.0937,18.8,0.6,0.5029,0.5339,0.7499,0.0,0.1722,0.1447,0.2785,1
APP-00019,CO-00019,Company 00019,Wholesale,Western Europe,Corporation,539106.01,36,5274794.62,16.6,696995.64,1,0.079,0.045,0.398,31,0.089,-435919.16,45823.28,-0.0826,22.3,0.0132,0.0412,-0.0626,0.4392,0.5476,0.9139,0.3909,68.1,58.3,52.6,1,1,1,0,1,3,1,0.5649,182.0,158.0,118.0,0.0467,0.0343,0.2233,0.2704,0.0352,0.1638,0.1321,0.1022,0.1667,0.091,0.602,0.1714,0.2247,0.0706,0.2217,0.0308,0.1795,0.0,0.4547,0.0536,0.2229,0.0,0.0716,62.4,0.8,0.2802,0.3992,0.0128,0.2365,0.0861,0.1726,0.1638,1
APP-00020,CO-00020,Company 00020,Healthcare,Middle East,Corporation,989577.53,18,2084571.94,7.1,944344.26,1,0.155,0.02,0.829,11,0.083,-181428.72,17600.13,-0.087,17.9,0.2032,0.1224,0.0019,0.273,0.3864,1.6319,1.6437,96.6,47.4,33.2,1,1,0,1,1,4,2,0.4556,100.0,68.0,50.0,0.104,0.1026,0.0358,0.2534,0.125,0.2632,0.453,0.4747,0.1667,0.2483,0.171,0.6083,0.268,0.0711,0.5647,0.33,0.1781,0.0,0.5212,0.1195,0.2948,0.0018,0.0749,82.4,0.8,0.3406,0.445,0.0311,0.1257,0.2627,0.1218,0.2632,1
APP-00021,CO-00021,Company 00021,Construction,Western Europe,LLC,773526.11,48,1821439.42,6.5,692648.65,1,0.036,0.042,0.763,11,0.675,-186503.84,16787.91,-0.1024,18.6,0.0697,0.0146,-0.017,0.405,0.5304,0.743,0.326,52.6,48.9,71.9,0,1,0,1,1,1,3,0.6321,79.0,66.0,64.0,0.162,0.092,0.2477,0.4514,0.0352,0.3264,0.3803,0.4247,0.1667,0.1567,0.237,0.5374,0.2248,0.1482,0.5018,0.1538,0.1985,0.0,0.5291,0.0825,0.2551,0.0,0.1062,75.6,0.6,0.3945,0.5194,0.0416,0.3152,0.1437,0.2351,0.3264,1
APP-00022,CO-00022,Company 00022,Retail,Western Europe,LLC,508087.1,48,1109112.22,1.8,992978.7,0,0.006,0.018,0.755,6,0.164,-195565.69,16744.82,-0.1763,15.5,0.1835,0.0831,-0.124,0.0648,0.4653,0.4266,0.15,56.4,77.4,61.1,1,1,0,1,1,1,1,0.2142,4.0,0.0,1.0,0.0909,0.0974,0.2498,0.2104,0.1764,0.1551,0.8953,0.4581,0.0,0.3256,0.245,0.7248,0.4727,0.0357,0.5537,0.1571,0.3299,0.0,0.764,0.0897,0.3293,0.0453,0.0342,40.1,0.8,0.1827,0.1914,0.6238,0.4058,0.1789,0.1964,0.169,1
APP-00023,CO-00023,Company 00023,Manufacturing,Western Europe,Partnership,2294050.93,48,7441189.99,2.9,2390861.62,1,0.004,0.078,0.278,42,0.033,-1359740.65,128493.19,-0.1827,4.9,0.0875,0.0415,-0.1077,0.0229,0.2773,1.2965,1.1167,83.7,68.9,31.8,1,1,0,1,1,2,2,0.4943,17.0,26.0,43.0,0.1239,0.035,0.1457,0.3512,0.0907,0.2758,0.3213,0.3083,0.1667,0.1179,0.722,0.4179,0.3188,0.0653,0.5343,0.1096,0.3669,0.5917,0.6913,0.1035,0.4719,0.0,0.008,46.6,0.8,0.2819,0.4124,0.0283,0.0468,0.1707,0.1868,0.2758,0
APP-00024,CO-00024,Company 00024,Logistics,Middle East,LLC,1029462.76,48,1877535.4,5.6,1460458.0,0,0.089,0.066,0.527,16,0.343,-602279.58,50834.45,-0.3208,0.4,0.0653,0.047,-0.2,0.0786,0.1767,0.7794,0.34,57.3,90.5,4.3,0,1,1,1,0,7,1,0.689,82.0,67.0,62.0,0.2035,0.0498,0.1416,0.272,0.0814,0.3516,0.7779,0.5483,0.0,0.329,0.473,0.7689,0.4608,0.1056,0.45,0.4039,0.5942,0.9667,0.7651,0.1327,0.5957,0.0,0.0518,-28.9,0.6,0.5077,0.555,0.0457,0.2702,0.1767,0.1581,0.3516,1
APP-00025,CO-00025,Company 00025,Healthcare,Western Europe,LLC,89281.73,60,1427838.3,3.0,1022916.36,0,0.225,0.0,0.991,6,0.172,-24918.22,3146.28,-0.0175,60.0,0.0999,0.1144,0.084,0.4284,0.6466,1.0242,0.6521,87.8,49.6,34.3,1,0,1,0,1,2,1,0.4463,62.0,29.0,8.0,0.1165,0.105,0.3459,0.1544,0.0236,0.2045,0.7164,0.0625,0.0,0.3817,0.009,0.3462,0.3535,0.0708,0.3372,0.0783,0.0436,0.0,0.387,0.0776,0.1946,0.0,0.1196,72.5,0.6,0.3271,0.3208,0.1171,0.214,0.2013,0.1733,0.2045,0
APP-00026,CO-00026,Company 00026,Retail,Eastern Europe,LLC,376969.62,60,1540883.4,12.3,987966.98,3,0.201,0.122,0.442,11,0.072,-295621.02,26992.89,-0.1919,14.4,0.1324,0.1096,-0.1009,0.1288,0.5525,0.4866,0.15,80.8,90.1,51.5,0,1,1,1,1,1,5,0.555,178.0,147.0,88.0,0.0855,0.0726,0.1446,0.4528,0.1562,0.1998,0.6412,0.2446,0.5,0.3414,0.558,0.5642,0.4538,0.1681,0.3084,0.3633,0.3758,0.0,0.7695,0.0826,0.3108,0.0,0.0604,42.2,0.8,0.3767,0.6248,0.0244,0.4304,0.2472,0.2377,0.1998,1
APP-00027,CO-00027,Company 00027,Software,North America,Corporation,765723.6,36,3731456.45,6.9,3268653.01,2,0.281,0.048,0.267,21,0.257,-672669.73,63424.15,-0.1803,9.1,0.1736,0.1302,-0.1493,0.2032,0.6576,0.4306,0.5552,75.3,108.0,22.7,1,1,1,1,1,0,2,0.3614,97.0,57.0,45.0,0.1024,0.026,0.0522,0.2134,0.0285,0.1876,0.876,0.2052,0.3333,0.4699,0.733,0.5846,0.6035,0.1545,0.4139,0.056,0.3614,0.2417,0.8145,0.0471,0.3369,0.0,0.11,-10.0,1.0,0.1161,0.3026,0.0231,0.3293,0.1871,0.0942,0.1876,1
APP-00028,CO-00028,Company 00028,Manufacturing,North America,LLC,1654180.52,24,3157982.92,3.1,1261203.24,2,0.092,0.07,0.718,19,0.189,-39134.2,4960.77,-0.0124,60.0,0.093,0.0683,0.0301,0.0642,0.5794,1.1627,0.8136,72.2,30.2,52.5,1,1,1,1,0,2,2,0.4662,29.0,15.0,25.0,0.2729,0.0535,0.1405,0.1817,0.0473,0.143,0.3994,0.5238,0.3333,0.1944,0.282,0.6597,0.2579,0.1186,0.5036,0.0808,0.0311,0.0,0.3083,0.0598,0.1821,0.0,0.0103,94.5,0.8,0.2791,0.3998,0.0933,0.1458,0.1122,0.1225,0.143,1
APP-00029,CO-00029,Company 00029,Software,APAC,LLC,1106501.97,72,3310906.61,11.1,1266071.5,1,0.36,0.009,0.506,15,0.283,456674.0,5587.63,0.1379,60.0,0.2049,0.1655,0.1704,0.1813,0.8095,1.7544,1.8932,68.5,67.7,18.6,0,1,1,1,1,1,1,0.5358,112.0,104.0,107.0,0.1744,0.0144,0.6872,0.2009,0.0432,0.0608,0.3824,0.3342,0.1667,0.3357,0.494,0.4642,0.371,0.1361,0.6262,0.0949,0.026,0.0,0.1175,0.0547,0.0866,0.0,0.0273,19.4,0.8,0.2148,0.3361,0.0363,0.0087,0.0709,0.3125,0.0663,0
APP-00030,CO-00030,Company 00030,Manufacturing,North America,Corporation,1521005.2,48,3371340.52,5.0,572052.78,0,0.332,0.187,0.374,34,0.076,-154591.93,15963.82,-0.0459,14.1,0.0262,0.0039,-0.0272,0.2831,0.613,1.1151,0.4404,118.4,82.5,79.9,1,1,0,1,1,1,1,0.2562,23.0,13.0,39.0,0.0184,0.0538,0.1649,0.2216,0.0266,0.2572,0.1697,0.4512,0.0,0.2437,0.626,0.439,0.3094,0.1806,0.4026,0.0289,0.0983,0.0,0.4125,0.0465,0.1968,0.0,0.0349,115.8,0.8,0.1869,0.2103,0.0646,0.4109,0.2494,0.1495,0.2572,1
APP-00031,CO-00031,Company 00031,Logistics,Western Europe,LLC,2366888.68,84,18655426.01,10.8,5157455.39,1,0.324,0.022,0.417,87,0.524,-725420.22,88860.92,-0.0389,40.7,0.1027,0.0981,-0.0347,0.0891,0.4656,0.9723,0.8253,51.5,52.3,55.3,1,0,1,1,1,1,3,0.7188,104.0,105.0,58.0,0.1088,0.0327,0.1874,0.2884,0.0206,0.1396,0.2765,0.1269,0.1667,0.2777,0.583,0.251,0.3406,0.1722,0.4101,0.1311,0.0949,0.0,0.4063,0.0552,0.2278,0.0,0.0141,54.5,0.8,0.3131,0.5585,0.025,0.1006,0.0862,0.1595,0.1396,1
APP-00032,CO-00032,Company 00032,Healthcare,North America,Sole Proprietorship,786806.1,36,1459471.56,4.4,1223317.54,0,0.058,0.012,0.32,14,0.356,-81187.23,7498.9,-0.0556,41.0,0.0731,0.0397,0.0489,0.4097,0.4793,0.4031,0.15,57.5,68.1,38.9,0,1,1,1,1,1,1,0.2955,32.0,41.0,32.0,0.1396,0.0605,0.2237,0.2539,0.0625,0.12,0.8382,0.5391,0.0,0.3336,0.68,0.7862,0.5296,0.0716,0.45,0.2004,0.1099,0.0,0.4694,0.0956,0.255,0.0,0.1495,28.3,0.8,0.1908,0.228,0.034,0.4117,0.1275,0.1713,0.1372,1
APP-00033,CO-00033,Company 00033,Logistics,Western Europe,Partnership,386397.77,72,1312910.87,9.4,605482.18,3,0.298,0.184,0.423,12,0.233,-367253.66,33029.11,-0.2797,0.4,0.1742,0.1019,-0.1818,0.3243,0.2657,0.3958,0.4058,80.8,85.3,23.1,1,1,1,0,0,7,1,0.6111,115.0,99.0,64.0,0.0844,0.0549,0.1557,0.5388,0.091,0.3778,0.4612,0.2943,0.5,0.3299,0.577,0.5307,0.4086,0.2458,0.2898,0.133,0.542,0.9667,0.7655,0.1142,0.5715,0.0,0.1666,18.6,0.6,0.4999,0.52,0.0224,0.3891,0.2848,0.2573,0.3778,1
APP-00034,CO-00034,Company 00034,Construction,Latin America,Corporation,283352.58,18,971141.31,4.9,327719.98,3,0.156,0.026,0.28,4,0.303,-19026.87,3111.21,-0.0196,58.0,0.101,0.076,0.0147,0.2989,0.4427,1.2472,1.1051,67.0,59.6,38.8,0,0,1,1,1,4,1,0.5285,76.0,10.0,52.0,0.0657,0.0371,0.1007,0.4284,0.0545,0.2821,0.3375,0.2918,0.5,0.2073,0.72,0.4777,0.358,0.141,0.6602,0.363,0.0602,0.0,0.3315,0.07,0.2188,0.0,0.047,46.2,0.6,0.3979,0.4078,0.1057,0.005,0.1002,0.18,0.2821,1
APP-00035,CO-00035,Company 00035,Construction,Latin America,Corporation,2171162.92,36,4057101.75,12.3,896555.43,1,0.082,0.01,0.705,34,0.269,72654.92,8137.07,0.0179,43.8,0.1223,0.0268,0.1278,0.3085,0.8412,1.0901,0.7053,66.3,45.8,62.2,1,1,1,1,1,0,0,0.0773,174.0,134.0,132.0,0.0547,0.0207,0.066,0.3635,0.0164,0.0499,0.221,0.5352,0.1667,0.1247,0.295,0.5622,0.1852,0.0789,0.45,0.3578,0.0309,0.0,0.2051,0.0703,0.1076,0.0344,0.0301,82.7,1.0,0.0077,0.0348,0.013,0.1517,0.0737,0.1372,0.0499,0
APP-00036,CO-00036,Company 00036,Construction,APAC,LLC,1586878.32,36,6776506.71,1.2,3191822.98,3,0.302,0.037,0.559,39,0.297,232536.18,8216.97,0.0343,60.0,-0.0177,-0.0199,0.0988,0.5051,0.6034,0.6121,0.15,61.2,70.7,72.3,0,1,0,1,1,4,2,0.6836,60.0,7.0,6.0,0.1451,0.1108,0.1652,0.1604,0.0789,0.1313,0.471,0.2342,0.5,0.3357,0.441,0.4855,0.4697,0.1753,0.4414,0.217,0.0187,0.0,0.2363,0.0665,0.1617,0.0,0.0894,62.8,0.6,0.4534,0.5476,0.2873,0.3653,0.126,0.1294,0.1355,0
APP-00037,CO-00037,Company 00037,Construction,North America,Corporation,474624.36,12,1955296.77,2.3,1342308.88,1,0.036,0.07,0.214,13,0.221,-248400.57,24389.29,-0.127,3.1,0.1473,0.0939,-0.03,0.1651,0.3368,1.2385,0.8728,68.9,53.2,26.6,1,1,1,0,0,1,2,0.62,38.0,53.0,23.0,0.3118,0.0182,0.0486,0.4932,0.0302,0.3645,0.6865,0.2427,0.1667,0.2669,0.786,0.5146,0.5232,0.0955,0.3301,0.0973,0.2623,0.7417,0.6317,0.1068,0.4763,0.0,0.0678,42.3,0.6,0.3532,0.444,0.0642,0.0416,0.1637,0.1795,0.3645,0
APP-00038,CO-00038,Company 00038,Software,Western Europe,LLC,319910.42,24,945854.02,5.9,271104.07,3,0.034,0.074,0.813,4,0.305,-46222.29,5061.63,-0.0489,21.3,0.1561,0.1566,0.0659,0.1262,0.4135,0.983,1.1293,65.2,44.7,48.6,1,0,0,0,1,2,0,0.5076,59.0,50.0,41.0,0.3109,0.0577,0.3189,0.6277,0.174,0.3268,0.2866,0.3382,0.5,0.1219,0.187,0.4948,0.1733,0.1432,0.6511,0.0982,0.1094,0.0,0.3777,0.1065,0.249,0.0,0.0216,69.1,0.4,0.3833,0.2784,0.068,0.0737,0.143,0.3508,0.3268,1
